"Library" "City" "State" "Relationship" "Operated" "Area" "Population" "Visits" "Hours" "Libraries" "Branches" "Bookmobiles" "Books" "Audio" "Video" "Subscriptions" "Circulation" "Loans Provided" "Loans Received" "ALA Librarians" "FT Librarians" "Other Full Time" "Total Full Time" "Children Circulation" "Children Attendance" "Income-local" "Income-state" "Income-federal" "Income-other" "Income-total" "Salaries" "Benefits" "Expenditures-staff" "Expenditures-collection" "Expenditures-operating-other" "Expenditures-operating-total" "Expenditures-capital" "Expenditures-electronic materials" "Expenditures-electronic access" "Materials electronic format" "Access to electronic services" "Access to the internet" "Staff terminals" "Public Terminals" "Weekly Elect Resources"
"Arley Public Library" "Arley" "Alabama" " Member library of a library system." "Municipal government" "City" 290 1589 1040 1 0 0 6274 7 32 18 3857 7 15 0 0.5 0 0.5 1282 361 7564 NA NA 500 8064 NA NA NA 29 NA 8064 NA NA 500 15 "Yes" "Yes" 0 2 8
"Ashland City Public Library" "Ashland" "Alabama" " Member library of a library system." "Municipal government" "City" 1965 12107 2000 1 0 0 15495 168 181 19 22072 21 14 0 1 2 3 12170 2266 34228 3117 3000 6507 46852 27507 2460 29967 8508 8718 47193 2250 17 149 13 "Yes" "Yes" 0 4 67
"Ashville Public Library" "Ashville" "Alabama" " Member library of a library system." "Municipal government" "City" 2260 4993 1560 1 0 0 11239 NA 91 5 5585 NA NA 0 0.75 0 0.75 2753 322 23151 2625 4000 2000 31776 NA NA NA 8114 NA 31776 NA NA NA NA "Yes" "Yes" 1 2 5
"St. Clair County Library" "Ashville" "Alabama" " Headquarters of a library system." "County/Parish" "County" 24821 4337 2300 1 1 0 17386 5 256 19 4600 20 99 1 3.05 0 3.05 852 NA 71590 53577 10000 7038 142205 47726 23403 71129 42220 39595 152944 NA NA 5685 NA "Yes" "Yes" 6 6 27
"Athens-Limestone Public Library" "Athens" "Alabama" " Not a member of a library system." "County/Parish" "County" 65433 151548 2119 1 0 0 55179 1100 1248 69 124049 106 196 1 4 4.27 8.27 55494 2314 155500 66238 285 87550 309573 124456 19548 144004 62035 75461 281500 NA NA 19760 1 "Yes" "Yes" 7 4 15
"Atmore Public" "Atmore" "Alabama" " Member library of a library system." "Municipal government" "City" 7676 22739 2260 1 0 0 71540 1261 226 107 88663 90 193 0 3 3 6 32744 2400 201980 7770 15000 27092 251842 145840 26094 171934 10421 66846 249201 NA NA 11881 128 "Yes" "Yes" 7 9 124
"Escambia County Coop. Library System" "Atmore" "Alabama" " Headquarters of a library system." "County/Parish" "County" 23578 64077 1820 1 0 0 7296 12 258 9 6761 5 3 0 1.12 0 1.12 4313 744 21000 23969 NA 4820 49789 NA NA NA 6718 NA 49271 NA 50 NA 4 "No" "Yes" 1 0 0
"Attalla-Etowah County Public Library" "Attalla" "Alabama" " Member library of a library system." "Municipal government" "City" 6592 10600 2158 1 0 0 26299 227 NA 79 13079 NA NA 0 2 1 3 3662 3500 88070 6673 NA 3300 98043 51724 16244 67968 12025 17780 97773 NA NA 550 10 "Yes" "Yes" 3 7 80
"Auburn Public Library" "Auburn" "Alabama" " Member library of a library system." "Municipal government" "City" 42987 109517 3160 1 0 0 56317 2344 1102 146 161484 51 210 4.75 7.75 8.25 16 81170 5434 814487 5500 NA 5000 824987 512325 96210 608535 80500 135952 824987 NA 3000 NA 31 "Yes" "Yes" 8 24 975
"Bessemer Public Library" "Bessemer" "Alabama" " Member library of a library system." "Municipal government" "City" 29672 59461 2544 1 0 0 68787 2316 1902 125 94900 2174 1094 2 4 7 11 31965 5736 606592 24780 5294 49465 686131 267772 56356 324128 196616 150120 670864 429547 NA 24760 12 "Yes" "Yes" 12 8 235
"Birmingham Public Library" "Birmingham" "Alabama" " Member library of a library system." "Municipal government" "City" 403327 2325440 48100 1 20 0 838199 36497 36508 2345 1845447 3923 1387 63 74 169.21 243.21 523616 51134 13518907 202193 10000 758886 14489986 8246397 2031048 10277445 1308814 2583053 14169312 NA 44187 227915 1569 "Yes" "Yes" 272 169 9327
"North Shelby Library" "Birmingham" "Alabama" " Member library of a library system." "Special Library District" "Other" 32030 81602 2288 1 0 0 57895 1680 1832 97 108141 117 46 1 4 10 14 53344 3700 557262 27665 NA 110778 695705 197940 40130 238070 5850 435254 679174 NA NA 11150 32 "Yes" "Yes" 10 14 202
"Blountsville Public Library" "Blountsville" "Alabama" " Member library of a library system." "Municipal government" "City" 12688 30000 2500 1 0 0 29466 324 1176 54 47413 4 18 0 1 1 2 21080 1442 67541 12915 NA 4115 84571 NA NA NA 6000 NA 59694 NA NA 700 26 "Yes" "Yes" 2 4 200
"Boaz Public Library" "Boaz" "Alabama" " Member library of a library system." "Municipal government" "City" 7411 22487 2416 1 0 0 48289 1740 2114 102 87228 5 19 0 1 4.4 5.4 31840 1189 131374 7683 265 5540 144862 92183 25462 117645 17973 11676 147294 NA 2727 395 201 "Yes" "Yes" 3 2 15
"Brantley Public Library" "Brantley" "Alabama" " Member library of a library system." "Municipal government" "City" 920 816 574 1 0 0 7411 7 10 26 4148 NA 5 0 1 0 1 1462 NA 5081 708 NA NA 5789 NA NA NA 3804 NA 6678 NA NA 1134 NA "Yes" "Yes" 1 1 3
"Brewton Public Library" "Brewton" "Alabama" " Member library of a library system." "Municipal government" "City" 5498 51840 2467 1 0 0 39958 2430 3310 110 112196 171 185 1 1 8 9 9088 2504 271712 5566 3485 47100 327863 157270 33442 190712 119962 33750 344424 NA NA NA 62 "Yes" "Yes" 10 10 159
"Bridgeport Public Library" "Bridgeport" "Alabama" " Not a member of a library system." "Municipal government" "City" 2728 1909 1488 1 0 0 5903 46 27 29 1739 NA NA 0 1 0 1 624 NA 16597 2979 3040 4140 26756 NA NA NA 1569 NA 26557 69908 50 3040 29 "Yes" "Yes" 1 3 14
"Tupper Lightfoot Memorial Library" "Brundidge" "Alabama" " Not a member of a library system." "Municipal government" "City" 2341 11786 2270 1 0 0 15024 313 625 41 10146 NA NA 1 3 0 3 3194 69 80217 6177 NA 1908 88302 57928 10252 68180 7487 12037 87704 NA NA 3337 27 "Yes" "Yes" 1 4 203
"Choctaw County Public Library" "Butler" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "County" 15922 22362 2278 1 2 0 64165 1757 5176 40 34215 103 22 1 6 0 6 11976 240 33494 16118 NA 43201 92813 44885 9945 54830 6141 26694 87665 NA NA 3427 114 "Yes" "Yes" 1 7 12
"Calera Public Library" "Calera" "Alabama" " Member library of a library system." "Municipal government" "City" 3158 16000 2496 1 0 0 19472 853 1102 13 26963 425 485 0 2 1.5 3.5 13873 3590 82856 2207 NA 1000 86063 67407 NA 67407 11207 7449 86063 NA NA NA 25 "Yes" "Yes" 1 5 58
"Wilcox County Library" "Camden" "Alabama" " Not a member of a library system." "County/Parish" "County" 13183 9321 3488 1 2 0 42924 566 566 47 37037 29 42 0 1 6 7 17514 1203 91892 13345 NA 7856 113093 45891 10275 56166 9964 35823 101953 NA NA 2589 95 "Yes" "Yes" 3 6 125
"Carrollton Public Library" "Carrollton" "Alabama" " Member library of a library system." "Municipal government" "City" 987 4026 1207 1 0 0 10223 170 529 7 4777 15 3 0 0.6 0.07 0.67 2104 230 16000 999 NA 1535 18534 NA NA NA 2351 NA 18698 NA NA 750 25 "Yes" "Yes" 1 4 24
"Cherokee County Public Library" "Centre" "Alabama" " Member library of a library system." "County/Parish" "County" 23988 21473 1848 1 0 0 23106 445 54 41 38962 7 19 0 1 1.5 2.5 5377 478 80169 12010 8250 1200 101629 42420 15170 57590 25210 18829 101629 75000 2000 NA 7 "Yes" "Yes" 2 2 36
"Brent-Centreville Public Library" "Centreville" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "County" 19454 28779 2228 1 0 0 19836 784 1612 50 27591 4 9 0 1 0.5 1.5 9564 1301 26950 19693 NA 10460 57103 NA NA NA 12376 NA 61021 4200 NA NA 9 "Yes" "Yes" 0 4 163
"Washington County Public Library" "Chatom" "Alabama" " Not a member of a library system." "County/Parish" "County" 18097 17497 4576 1 1 1 45096 1029 1793 140 19552 NA 40 1 1 8 9 10206 400 29500 18320 NA 226423 274243 158127 21439 179566 37264 77085 293915 NA NA 14490 50 "Yes" "Yes" 7 13 67
"Cherokee Public Library" "Cherokee" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "City" 5930 17993 1450 1 0 0 18207 428 NA 3 8956 NA 15 0 0.72 0 0.72 4616 300 12500 6003 8545 NA 27048 NA NA NA 2600 NA 26931 5185 100 10545 37 "Yes" "Yes" 2 1 20
"Ina Pullen Smallwood Memorial Library" "Chickasaw" "Alabama" " Not a member of a library system." "Municipal government" "City" 6364 9066 1812 1 0 0 24089 1204 1824 69 10594 NA NA 1 1 1 2 3355 15 39623 6585 NA 6442 52650 NA NA NA 14501 NA 50708 2174 130 1578 33 "Yes" "Yes" 3 6 50
"Earle A. Rainwater Memorial Library" "Childersburg" "Alabama" " Member library of a library system." "Municipal government" "City" 4927 17967 2004 1 0 0 23881 731 258 30 33584 131 43 0 3 1 4 9494 801 83654 5078 4000 3623 96355 44856 3682 48538 17781 21647 87966 11170 NA 6659 NA "Yes" "Yes" 1 8 64
"Citronelle Memorial Library" "Citronelle" "Alabama" " Not a member of a library system." "Municipal government" "City" 3659 44400 1525 1 0 0 27097 311 447 68 26841 NA 95 0 4 0 4 9814 450 72000 4159 NA 250 76409 42000 NA 42000 19472 18551 80023 NA 487 2251 58 "Yes" "Yes" 2 4 65
"Chilton-Clanton Public Library" "Clanton" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "County" 39553 30269 7786 1 3 0 66204 570 1485 82 57636 72 67 0 1 5 6 18433 702 132222 40040 1800 29322 203384 127359 15487 142846 17846 52641 213333 NA NA 17315 8 "Yes" "Yes" 7 3 200
"Town And County Public Library" "Clayton" "Alabama" " Member library of a library system." "Municipal government" "City" 1475 2767 1000 1 0 0 14327 69 100 27 1475 NA 13 0 1 1 2 596 40 14082 4156 NA 38447 56685 NA NA NA 4343 NA 56697 20000 695 1257 119 "Yes" "Yes" 3 8 15
"Elton B. Stephens Library" "Clio" "Alabama" " Member library of a library system." "Municipal government" "City" 2206 1771 1040 1 0 0 6560 229 212 4 2435 NA NA 0 0.5 0 0.5 821 NA 5720 4896 NA 30 10646 NA NA NA 1469 NA 10821 NA NA 896 1 "Yes" "Yes" 0 1 3
"Collinsville Public Library" "Collinsville" "Alabama" " Member library of a library system." "Municipal government" "City" 1644 5237 1318 1 0 0 6795 761 330 6 4464 NA 12 0 1 0.5 1.5 1456 85 31594 1660 221 2290 35765 NA NA NA 3128 NA 35765 NA NA 907 16 "Yes" "Yes" 1 4 30
"Columbiana Public Library" "Columbiana" "Alabama" " Member library of a library system." "Municipal government" "City" 3316 20355 2544 1 0 0 20769 807 1525 16 62478 685 625 1 2 2 4 26653 4004 159759 3357 250 12578 175944 77194 25599 102793 44512 28639 175944 NA NA NA 35 "Yes" "Yes" 3 11 56
"Harrison Regional Library System" "Columbiana" "Alabama" " Headquarters of a library system." "County/Parish" "County" 41498 12032 3134 1 1 0 12723 900 802 16 8832 184 2204 1 3 9 12 407 276 353235 41485 25000 15700 435420 224907 58976 283883 26696 87387 397966 156250 NA 39750 18 "Yes" "Yes" 10 10 52
"Cordova Public Library" "Cordova" "Alabama" " Member library of a library system." "Municipal government" "City" 2423 8192 1040 1 0 0 9209 NA NA NA 4241 NA 9 0 0.5 0 0.5 866 156 12995 NA NA NA 12995 NA NA NA 109 NA 12995 599 NA 120 NA "Yes" "Yes" 0 2 16
"Courtland Public Library" "Courtland" "Alabama" " Member library of a library system." "Municipal government" "County" 769 2670 650 1 0 0 6840 26 9 NA 4783 NA NA 0 0.37 0 0.37 1185 96 17857 1587 2225 639 22308 NA NA NA 7100 NA 22307 NA NA NA NA "Yes" "Yes" 0 1 1
"Crossville Public Library" "Crossville" "Alabama" " Member library of a library system." "Municipal government" "City" 1431 4916 1506 1 0 0 4669 181 NA 4 6578 NA NA 0 0.75 0.5 1.25 1787 1091 13596 1449 4000 9119 28164 NA NA NA 7586 NA 28211 NA NA 741 NA "Yes" "Yes" 0 3 9
"Cullman County Public Library System" "Cullman" "Alabama" " Headquarters of a library system." "Multi-jurisdictional" "County" 77469 101486 7538 1 4 1 80336 2178 976 187 116195 100 121 2 3.5 10 13.5 49964 6189 342422 78422 12230 20230 453304 222678 61268 283946 58739 84417 427102 NA 500 4714 64 "Yes" "Yes" 13 17 295
"Dadeville Public Library" "Dadeville" "Alabama" " Member library of a library system." "Municipal government" "County" 3212 10826 1748 1 0 0 10964 1192 269 12 20603 9 322 0 0.8 0.88 1.68 6248 62 44162 5500 NA 11476 61138 NA NA NA 8312 NA 61464 NA NA 1328 4 "Yes" "Yes" 2 2 42
"Horseshoe Bend Regional Library" "Dadeville" "Alabama" " Headquarters of a library system." "Multi-jurisdictional" "Multi-County" 125227 368270 2832 1 0 1 120267 948 2049 32 29194 71 30 2.8 2.8 2.2 5 11715 3542 52894 186584 NA 1967 241445 121100 17829 138929 34918 57663 231510 NA NA 322 85 "Yes" "Yes" 4 1 18
"Daleville Public Library" "Daleville" "Alabama" " Member library of a library system." "Municipal government" "City" 6698 14222 2101 1 0 0 13948 160 568 28 12203 NA 32 0 1 0.38 1.38 6315 358 28414 6780 300 3067 38561 NA NA NA 8137 NA 38549 3130 NA NA 68 "Yes" "Yes" 3 6 75
"Daphne Public Library" "Daphne" "Alabama" " Member library of a library system." "Municipal government" "City" 16581 161464 2692 1 0 0 35222 2859 2837 86 178253 328 216 1 2 5.4 7.4 70862 8929 378735 16784 3909 20000 419428 205867 55021 260888 72200 35000 368088 NA NA NA 21 "Yes" "Yes" 9 6 175
"Decatur Public Library" "Decatur" "Alabama" " Member library of a library system." "Municipal government" "City" 53929 203874 3492 1 0 0 97155 2837 2637 151 256693 311 526 1.3 6.49 9.1 15.59 88625 3658 461158 51873 225 281971 795227 315572 46211 361783 82778 338529 783090 NA NA 6754 77 "Yes" "Yes" 6 4 30
"Wheeler Basin Regional Library" "Decatur" "Alabama" " Headquarters of a library system." "Multi-jurisdictional" "Multi-County" 74281 931 2080 1 0 0 3379 NA NA NA 3164 145 333 1.7 6.75 0.41 7.16 71 NA NA 66466 NA 221296 287762 204283 32277 236560 NA 51202 287762 NA NA NA NA "Yes" "Yes" 7 0 0
"Demopolis Public Library" "Demopolis" "Alabama" " Headquarters of a library system." "City/County" "City" 20115 62857 2036 1 0 1 27269 542 480 78 65819 19 119 1 4.6 1.4 6 25699 2838 228681 16038 NA 22393 267112 127656 26715 154371 32655 59054 246080 32174 835 NA 25 "Yes" "Yes" 5 8 94
"Dora Public Library" "Dora" "Alabama" " Member library of a library system." "Municipal government" "City" 2413 8158 1560 1 0 0 6730 NA NA NA 2765 NA 6 0 0.8 0 0.8 920 150 13920 NA NA NA 13920 NA NA NA NA NA 13920 NA NA 720 NA "Yes" "Yes" 0 2 14
"Houston-Love Memorial Library" "Dothan" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "County" 89115 238569 6264 1 2 2 194374 945 2644 272 288661 319 447 3 16 6 22 78594 1722 586681 90210 16160 168977 862028 414615 90216 504831 155505 153311 813647 NA 195 8527 534 "Yes" "Yes" 21 26 540
"Elba Public Library" "Elba" "Alabama" " Member library of a library system." "Municipal government" "City" 12229 10564 2052 1 0 0 11049 379 259 24 18525 NA 14 0.75 1.5 0.62 2.12 4989 62 59861 12380 241 10837 83319 35145 8114 43259 20046 19606 82911 NA NA 1132 12 "Yes" "Yes" 2 4 40
"Enterprise Public Library" "Enterprise" "Alabama" " Member library of a library system." "Municipal government" "County" 31478 80196 2666 1 0 0 39325 3112 674 87 68319 NA 255 0 5.2 0 5.2 21342 3259 124695 31865 250 29693 186503 83145 7081 90226 41387 45056 176669 NA 134 4701 87 "Yes" "Yes" 2 4 220
"Eufaula Carnegie Library" "Eufaula" "Alabama" " Member library of a library system." "Municipal government" "County" 13908 45210 2710 1 1 0 37746 1310 1557 114 103554 120 135 1 6 1.8 7.8 44724 3450 178500 17200 15000 15100 225800 123000 21500 144500 40300 22800 207600 12000 NA 1300 20 "Yes" "Yes" 7 7 125
"James C. Poole Jr. Memorial Library" "Eutaw" "Alabama" " Not a member of a library system." "County/Parish" "County" 9974 927 1258 1 0 0 15157 81 116 23 7691 NA NA 0 0.62 0.62 1.24 3520 285 13000 10321 NA 6990 30311 NA NA NA 10202 NA 30311 NA 631 264 156 "Yes" "Yes" 0 1 10
"Eva Public Library" "Eva" "Alabama" " Member library of a library system." "Municipal government" "City" 491 4432 1872 1 0 0 6884 283 86 NA 7271 4 8 0 0.75 0 0.75 2765 563 27324 497 4275 1000 33096 NA NA NA 7129 NA 34098 NA NA NA NA "Yes" "Yes" 0 1 1
"Evergreen Public Library" "Evergreen" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "County" 14089 13111 2204 1 0 0 31572 2681 2632 22 17072 4 98 1 1 4 5 9065 11760 128959 14262 180 34759 178160 81474 19384 100858 13910 42441 157209 45259 NA NA NA "Yes" "Yes" 3 6 200
"Walter J. Hanna Memorial Library" "Fairfield" "Alabama" " Member library of a library system." "Municipal government" "City" 12381 19459 4680 1 1 0 38206 1016 1456 83 28331 3 221 2 3 8.5 11.5 6749 2085 360300 12828 NA 10583 383711 199361 32130 231491 51023 101197 383711 NA 600 NA 24 "Yes" "Yes" 2 5 65
"Fairhope Public Library" "Fairhope" "Alabama" " Member library of a library system." "Municipal government" "City" 12480 38699 2578 1 0 0 48916 3159 2004 155 180236 36 73 2 5 2.7 7.7 55544 3676 284867 12633 8000 45939 351439 199079 23709 222788 77355 38298 338441 NA 2794 2052 48 "Yes" "Yes" 8 13 235
"Falkville Public Library" "Falkville" "Alabama" " Member library of a library system." "Municipal government" "City" 1202 5477 1664 1 0 0 5750 37 45 NA 7271 15 15 0 0.75 0 0.75 2765 1817 25223 1217 4225 1000 31665 NA NA NA 6499 NA 31665 NA NA NA NA "Yes" "Yes" 0 1 14
"Fayette County Memorial Library" "Fayette" "Alabama" " Not a member of a library system." "County/Parish" "County" 18109 21467 2400 1 0 0 24567 621 1571 24 37724 NA 8 0 1 2.75 3.75 16522 1306 15100 18738 NA 98254 132092 57654 8086 65740 28008 40628 134376 5000 NA 5555 5 "Yes" "Yes" 2 3 350
"Flomaton Public Library" "Flomaton" "Alabama" " Member library of a library system." "Municipal government" "City" 1588 27082 2476 1 0 0 19368 834 116 30 117670 722 153 0 2.1 0 2.1 29432 580 79868 1608 9500 11485 102461 40930 14983 55913 14100 29104 99117 NA 424 2167 64 "Yes" "Yes" 0 4 72
"Florala Public Library" "Florala" "Alabama" " Member library of a library system." "Municipal government" "City" 2512 11965 1920 1 0 0 12748 357 818 40 17049 2 51 0 1 3 4 6182 521 38274 1988 300 1784 42346 27557 3059 30616 6398 6996 44010 1000 68 531 20 "Yes" "Yes" 1 2 28
"Florence-Lauderdale Public Library" "Florence" "Alabama" " Member library of a library system." "Multi-jurisdictional" "County" 87966 20000 2325 1 0 0 81866 2794 1517 127 170525 156 267 2.9 7.4 5.8 13.2 65067 1345 405140 62957 NA 155300 623397 245000 60000 305000 191000 115015 611015 13200000 1500 24500 38 "Yes" "Yes" 9 6 386
"Foley Public Library" "Foley" "Alabama" " Not a member of a library system." "Municipal government" "City" 7590 89371 2899 1 0 0 39503 1910 1123 95 147974 101 288 1 2 5.6 7.6 42403 21775 314343 7683 7700 21869 351595 188313 57789 246102 48274 47842 342218 11308 2505 NA 41 "Yes" "Yes" 7 7 276
"Fultondale Public Library" "Fultondale" "Alabama" " Member library of a library system." "Municipal government" "City" 6595 48000 2512 1 0 0 27880 666 832 47 27489 NA NA 0 1 6 7 9708 250 157465 5508 NA 11958 174931 104780 22817 127597 24966 22368 174931 NA NA 6288 NA "No" "Yes" 3 4 60
"Gadsden-Etowah County Public Library" "Gadsden" "Alabama" " Headquarters of a library system." "Multi-jurisdictional" "County" 81819 299250 7895 1 3 0 202166 6080 4561 173 237920 19 234 2 14 12 26 63635 5345 1065754 82825 300 10000 1158879 619016 210615 829631 119562 184555 1133748 40500 NA NA NA "Yes" "Yes" 24 34 1168
"Gardendale- Martha Moore Public Library" "Gardendale" "Alabama" " Member library of a library system." "Municipal government" "City" 11626 124628 2596 1 0 0 54581 2303 2649 65 181432 1038 1071 0 6 4.1 10.1 54324 5409 379229 9709 1622 37010 427570 217587 49314 266901 53640 73748 394289 NA NA 9150 NA "Yes" "Yes" 9 8 575
"Emma Knox Kenan Public Library" "Geneva" "Alabama" " Member library of a library system." "Municipal government" "City" 4388 12625 2210 1 0 0 14406 45 45 36 9306 20 60 0 1 2 3 3159 600 49454 3379 NA 5023 57856 33033 NA 33033 3800 20656 57489 NA NA NA 30 "Yes" "Yes" 0 3 98
"Geraldine Public Library" "Geraldine" "Alabama" " Member library of a library system." "Special Library District" "City" 786 7545 1720 1 0 0 36426 521 622 50 9831 NA 50 0 1.5 0 1.5 2664 240 18077 796 240 12824 31937 NA NA NA 807 NA 31476 NA NA 4686 176 "Yes" "Yes" 2 6 38
"Goodwater Public Library" "Goodwater" "Alabama" " Member library of a library system." "Municipal government" "City" 1633 5521 2000 1 0 0 10797 266 371 30 5340 NA 2 0 1 0.06 1.06 2044 10 35409 5424 NA 3652 44485 NA NA NA 6144 NA 41553 NA NA 2190 33 "Yes" "Yes" 0 2 25
"Gordo Public Library" "Gordo" "Alabama" " Member library of a library system." "Municipal government" "City" 1677 5076 1457 1 0 0 9546 101 451 15 9442 12 18 0 0.78 0 0.78 4416 664 17900 1698 NA 500 20098 NA NA NA 3406 NA 20573 NA NA NA 33 "Yes" "Yes" 1 1 8
"Grant Public Library" "Grant" "Alabama" " Member library of a library system." "Municipal government" "City" 665 6000 1600 1 0 0 14269 32 53 1 6903 NA NA 1 2 0 2 1297 530 19787 902 NA 1768 22457 NA NA NA 4266 NA 24285 NA 41 NA 169 "Yes" "Yes" 1 4 45
"Graysville Public Library" "Graysville" "Alabama" " Member library of a library system." "Municipal government" "City" 2344 7925 1846 1 0 0 21749 246 NA 60 37712 29 29 0 1 1 2 11136 1662 82500 2373 NA 3634 88507 NA NA NA 10007 NA 90507 NA NA NA NA "Yes" "Yes" 1 2 45
"Hale County Library" "Greensboro" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "City" 8660 7000 1614 1 0 0 13139 328 651 36 7679 NA 48 0 1.2 0 1.2 2614 181 11872 8767 NA 19192 39831 NA NA NA 9034 NA 37679 2185 NA 1354 14 "Yes" "Yes" 0 2 45
"Greenville-Butler County Public Library" "Greenville" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "County" 21399 58155 2402 1 0 0 30990 1223 1066 40 37200 47 60 1 4.8 1 5.8 12091 1169 145174 21662 NA 31398 198234 78790 14670 93460 23417 40532 157409 1775 NA NA 29 "Yes" "Yes" 6 14 92
"Mchs Community Library" "Guin" "Alabama" " Member library of a library system." "Multi-jurisdictional" "City" 2389 13229 1824 1 0 0 15938 606 305 83 16748 NA 10 0.67 1.42 0 1.42 8237 25 23951 NA NA NA 23951 NA NA NA 2100 NA 23951 15000 NA NA 10 "No" "Yes" 2 2 14
"Guntersville Public Library" "Guntersville" "Alabama" " Member library of a library system." "Municipal government" "City" 7395 22438 2040 1 0 0 49780 1177 1690 78 121866 126 152 2 4 2 6 30994 2554 214700 9826 NA 31083 255609 136000 28800 164800 39708 56214 260722 NA 1721 1331 316 "Yes" "Yes" 2 5 150
"Marshall County Cooperative Library" "Guntersville" "Alabama" " Member library of a library system." "County/Parish" "County" 43013 2721 1968 0 0 1 6544 105 116 NA 16995 2 30 0 1 0.5 1.5 4450 1963 20000 40334 NA NA 60334 NA NA NA 11582 NA 59584 NA NA NA NA "No" "No" 0 0 0
"Haleyville Public Library" "Haleyville" "Alabama" " Member library of a library system." "Municipal government" "City" 4182 14095 2496 1 0 0 9577 40 145 25 12848 23 168 0 1 1 2 5229 627 58400 NA NA 1186 59586 NA NA NA 1971 NA 59586 18229 NA 120 NA "Yes" "Yes" 1 2 43
